Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults
Gambia,GMB,2020,4.92
Germany,DEU,1995,9.93
Germany,DEU,2000,10.59
Germany,DEU,2005,11.98
Germany,DEU,2010,12.58
Germany,DEU,2015,12.86
Germany,DEU,2020,13.1
Ghana,GHA,1995,6.27
Ghana,GHA,2000,6.67
Ghana,GHA,2005,7.28
Ghana,GHA,2010,7.66
Ghana,GHA,2015,7.72
Ghana,GHA,2020,8.39
Greece,GRC,1995,9.54
Greece,GRC,2000,9.9
Greece,GRC,2005,10.95
Greece,GRC,2010,11.36
Greece,GRC,2015,11.6
Greece,GRC,2020,11.86
Guatemala,GTM,1995,3.96
Guatemala,GTM,2000,4.35
Guatemala,GTM,2005,4.33
Guatemala,GTM,2010,5.21
Guatemala,GTM,2015,5.72
Guatemala,GTM,2020,6.26
Guyana,GUY,1995,7.92
Guyana,GUY,2000,8.43
Guyana,GUY,2005,8.79
Guyana,GUY,2010,9
Guyana,GUY,2015,8.32
Guyana,GUY,2020,8.52
Haiti,HTI,1995,4.06
Haiti,HTI,2000,4.44
Haiti,HTI,2005,4.9
Haiti,HTI,2010,5.17
Haiti,HTI,2015,5.5
Haiti,HTI,2020,5.95
Honduras,HND,1995,5.47
Honduras,HND,2000,5.87
Honduras,HND,2005,6.24
Honduras,HND,2010,6.6
Honduras,HND,2015,7.04
Honduras,HND,2020,7.51
Hong Kong,HKG,1995,10.21
Hong Kong,HKG,2000,10.37
Hong Kong,HKG,2005,12.17
Hong Kong,HKG,2010,12.2
Hong Kong,HKG,2015,12.32
Hong Kong,HKG,2020,12.83
Hungary,HUN,1995,10.75
Hungary,HUN,2000,11.57
Hungary,HUN,2005,11.89
Hungary,HUN,2010,11.98
Hungary,HUN,2015,11.83
Hungary,HUN,2020,11.96
Iceland,ISL,1995,9.7
Iceland,ISL,2000,10.17
Iceland,ISL,2005,10.83
Iceland,ISL,2010,11.52
Iceland,ISL,2015,12.95
Iceland,ISL,2020,13.53
India,IND,1995,4.3
India,IND,2000,5.3
India,IND,2005,5.94
India,IND,2010,6.59
India,IND,2015,7.31
India,IND,2020,7.8
Indonesia,IDN,1995,4.89
Indonesia,IDN,2000,5.41
Indonesia,IDN,2005,6.68
Indonesia,IDN,2010,8.02
Indonesia,IDN,2015,8.5
Indonesia,IDN,2020,9.06
Iran,IRN,1995,6.69
Iran,IRN,2000,7.66
Iran,IRN,2005,8.49
Iran,IRN,2010,9.15
Iran,IRN,2015,9.37
Iran,IRN,2020,9.8
Iraq,IRQ,1995,5.44
Iraq,IRQ,2000,6.23
Iraq,IRQ,2005,6.6
Iraq,IRQ,2010,7.43
Iraq,IRQ,2015,7.76
Iraq,IRQ,2020,8.27
Ireland,IRL,1995,10.8
Ireland,IRL,2000,11.03
Ireland,IRL,2005,11.8
Ireland,IRL,2010,12.45
Ireland,IRL,2015,13.57
Ireland,IRL,2020,13.74
Israel,ISR,2015,12.04
Israel,ISR,2020,12.04
Italy,ITA,1995,9.04
Italy,ITA,2000,9.73
Italy,ITA,2005,10.2
Italy,ITA,2010,10.71
Italy,ITA,2015,11.11
Italy,ITA,2020,11.51
Jamaica,JAM,1995,8.55
Jamaica,JAM,2000,9.59
Jamaica,JAM,2005,10.09
Jamaica,JAM,2010,10.33
Jamaica,JAM,2015,9.81
Jamaica,JAM,2020,10.1
Japan,JPN,1995,11.26
Japan,JPN,2000,11.77
Japan,JPN,2005,12.12
Japan,JPN,2010,12.44
Japan,JPN,2015,12.6
Japan,JPN,2020,12.83
Jordan,JOR,1995,7.89
Jordan,JOR,2000,8.72
Jordan,JOR,2005,9.42
Jordan,JOR,2010,9.92
Jordan,JOR,2015,10.5
Jordan,JOR,2020,10.81
Kazakhstan,KAZ,2015,11.69
Kazakhstan,KAZ,2020,11.79
Kenya,KEN,1995,5.5
Kenya,KEN,2000,5.91
Kenya,KEN,2005,6.48
Kenya,KEN,2010,6.47
Kenya,KEN,2015,6.28
Kenya,KEN,2020,6.73
Kuwait,KWT,1995,6.15
Kuwait,KWT,2000,6.12
Kuwait,KWT,2005,6.14
Kuwait,KWT,2010,6.39
Kuwait,KWT,2015,6.49
Kuwait,KWT,2020,6.62
Kyrgyzstan,KGZ,2015,11.05
Kyrgyzstan,KGZ,2020,11.18
Laos,LAO,2015,5.47
Laos,LAO,2020,6.05
Latvia,LVA,2015,11.79
Latvia,LVA,2020,11.96
Lesotho,LSO,1995,5.8
Lesotho,LSO,2000,6.37
Lesotho,LSO,2005,7.21
Lesotho,LSO,2010,6.08
Lesotho,LSO,2015,6.44
Lesotho,LSO,2020,6.88
Liberia,LBR,1995,3.17
Liberia,LBR,2000,3.6
Liberia,LBR,2005,3.96
Liberia,LBR,2010,4.35
Liberia,LBR,2015,5.06
Liberia,LBR,2020,5.8
Libya,LBY,1995,6.13
Libya,LBY,2000,7.04
Libya,LBY,2005,7.79
Libya,LBY,2010,8.43
Libya,LBY,2015,9.05
Libya,LBY,2020,9.57
Lithuania,LTU,2015,12.44
Lithuania,LTU,2020,12.5
Luxembourg,LUX,1995,9.57
Luxembourg,LUX,2000,9.92
Luxembourg,LUX,2005,10.59
Luxembourg,LUX,2010,11.33
Luxembourg,LUX,2015,11.41
Luxembourg,LUX,2020,11.53
Macao,MAC,2015,10.56
Macao,MAC,2020,10.97
Malawi,MWI,1995,3.3
Malawi,MWI,2000,3.73
Malawi,MWI,2005,4.67
Malawi,MWI,2010,5.01
Malawi,MWI,2015,4.86
Malawi,MWI,2020,5.41
Malaysia,MYS,1995,8.66
Malaysia,MYS,2000,9.49
Malaysia,MYS,2005,10.16
Malaysia,MYS,2010,10.89
Malaysia,MYS,2015,11.49
Malaysia,MYS,2020,11.96
Maldives,MDV,2015,7.57
Maldives,MDV,2020,8.06
Mali,MLI,1995,1.07
Mali,MLI,2000,1.3
Mali,MLI,2005,1.81
Mali,MLI,2010,2.14
Mali,MLI,2015,2.78
Mali,MLI,2020,3.55
Malta,MLT,1995,10.06
Malta,MLT,2000,10.43
Malta,MLT,2005,10.6
Malta,MLT,2010,11.06
Malta,MLT,2015,11.53
Malta,MLT,2020,12.09
Mauritania,MRT,2015,5.1
Mauritania,MRT,2020,5.55
Mauritius,MUS,1995,7.07
Mauritius,MUS,2000,7.07
Mauritius,MUS,2005,8.16
Mauritius,MUS,2010,9.44
Mauritius,MUS,2015,9.9
Mauritius,MUS,2020,10.4
Mexico,MEX,1995,7.37
Mexico,MEX,2000,7.96
Mexico,MEX,2005,8.9
Mexico,MEX,2010,9.18
Mexico,MEX,2015,9.65
Mexico,MEX,2020,10.18
Moldova,MDA,2015,10.8
Moldova,MDA,2020,10.84
Mongolia,MNG,2015,9.77
Mongolia,MNG,2020,10
Morocco,MAR,1995,3.64
Morocco,MAR,2000,4.09
Morocco,MAR,2005,4.63
Morocco,MAR,2010,5.27
Morocco,MAR,2015,6.15
Morocco,MAR,2020,6.83
Mozambique,MOZ,1995,0.98
Mozambique,MOZ,2000,1.13
Mozambique,MOZ,2005,1.34
Mozambique,MOZ,2010,2.03
Mozambique,MOZ,2015,3.31
Mozambique,MOZ,2020,4.22
Myanmar,MMR,1995,3.4
Myanmar,MMR,2000,3.89
Myanmar,MMR,2005,4.45
Myanmar,MMR,2010,5.11
Myanmar,MMR,2015,5.9
Myanmar,MMR,2020,6.48
Namibia,NAM,2015,6.64
Namibia,NAM,2020,6.88
Nepal,NPL,1995,2.76
Nepal,NPL,2000,3.13
Nepal,NPL,2005,3.74
Nepal,NPL,2010,4.44
Nepal,NPL,2015,5.44
Nepal,NPL,2020,6.19
Netherlands,NLD,1995,10.88
Netherlands,NLD,2000,11.14
Netherlands,NLD,2005,11.15
Netherlands,NLD,2010,11.71
Netherlands,NLD,2015,11.74
Netherlands,NLD,2020,11.82
New Zealand,NZL,1995,11.81
New Zealand,NZL,2000,11.98
New Zealand,NZL,2005,12
New Zealand,NZL,2010,11.12
New Zealand,NZL,2015,10.91
New Zealand,NZL,2020,10.81
Nicaragua,NIC,1995,5.19
Nicaragua,NIC,2000,5.7
Nicaragua,NIC,2005,6.28
Nicaragua,NIC,2010,6.82
Nicaragua,NIC,2015,7.25
Nicaragua,NIC,2020,7.76
Niger,NER,1995,1.28
Niger,NER,2000,1.43
Niger,NER,2005,1.62
Niger,NER,2010,1.95
Niger,NER,2015,2.44
Niger,NER,2020,3.04
Norway,NOR,1995,11.31
Norway,NOR,2000,11.56
Norway,NOR,2005,11.91
Norway,NOR,2010,11.65
Norway,NOR,2015,12.11
Norway,NOR,2020,12.08
Pakistan,PAK,1995,3.52
Pakistan,PAK,2000,4.04
Pakistan,PAK,2005,5.05
Pakistan,PAK,2010,5.22
Pakistan,PAK,2015,5.89
Pakistan,PAK,2020,6.41
Panama,PAN,1995,8.71
Panama,PAN,2000,9.24
Panama,PAN,2005,9.51
Panama,PAN,2010,9.72
Panama,PAN,2015,10.06
Panama,PAN,2020,10.44
Papua New Guinea,PNG,2015,4.61
Papua New Guinea,PNG,2020,4.84
Paraguay,PRY,1995,6.4
Paraguay,PRY,2000,6.55
Paraguay,PRY,2005,8.03
Paraguay,PRY,2010,7.99
Paraguay,PRY,2015,8.4
Paraguay,PRY,2020,8.83
Peru,PER,1995,8.09
Peru,PER,2000,9.05
Peru,PER,2005,9.88
Peru,PER,2010,9.28
Peru,PER,2015,9.61
Peru,PER,2020,9.96
Philippines,PHL,1995,7.59
Philippines,PHL,2000,7.96
Philippines,PHL,2005,8.27
Philippines,PHL,2010,8.65
Philippines,PHL,2015,9.14
Philippines,PHL,2020,9.44
Poland,POL,1995,10.32
Poland,POL,2000,10.74
Poland,POL,2005,11.36
Poland,POL,2010,11.62
Poland,POL,2015,11.84
Poland,POL,2020,12.01
Portugal,PRT,1995,7.49
Portugal,PRT,2000,8.41
Portugal,PRT,2005,8.12
Portugal,PRT,2010,8.71
Portugal,PRT,2015,9.14
Portugal,PRT,2020,9.56
Qatar,QAT,2015,8.46
Qatar,QAT,2020,8.52
Reunion,REU,1995,6.97
Reunion,REU,2000,7.42
Reunion,REU,2005,7.85
Reunion,REU,2010,8.29
Reunion,REU,2015,8.5
Reunion,REU,2020,8.71
Romania,ROU,1995,10.37
Romania,ROU,2000,10.7
Romania,ROU,2005,10.89
Romania,ROU,2010,11.24
Romania,ROU,2015,11.07
Romania,ROU,2020,11.28
Russia,RUS,1995,10.73
Russia,RUS,2000,11.54
Russia,RUS,2005,11.76
Russia,RUS,2010,12.02
Russia,RUS,2015,11.56
Russia,RUS,2020,11.6
Rwanda,RWA,2015,4.62
Rwanda,RWA,2020,5.24
Saudi Arabia,SAU,2015,9.34
Saudi Arabia,SAU,2020,9.86
Senegal,SEN,1995,2.26
Senegal,SEN,2000,1.98
Senegal,SEN,2005,1.67
Senegal,SEN,2010,3.11
Senegal,SEN,2015,3.73
Senegal,SEN,2020,4.4
Serbia,SRB,1995,8.88
Serbia,SRB,2000,9.52
Serbia,SRB,2005,10.6
Serbia,SRB,2010,11.52
Serbia,SRB,2015,11.49
Serbia,SRB,2020,11.72
Sierra Leone,SLE,1995,2.55
Sierra Leone,SLE,2000,2.9
Sierra Leone,SLE,2005,3.36
Sierra Leone,SLE,2010,4.28
Sierra Leone,SLE,2015,4.23
Sierra Leone,SLE,2020,4.99
Singapore,SGP,2015,12.54
Singapore,SGP,2020,13.06
Slovakia,SVK,2015,13.03
Slovakia,SVK,2020,13.14
Slovenia,SVN,2015,11.95
Slovenia,SVN,2020,12.06
South Africa,ZAF,1995,8.37
South Africa,ZAF,2000,7.92
South Africa,ZAF,2005,8.86
South Africa,ZAF,2010,9.89
South Africa,ZAF,2015,10.15
South Africa,ZAF,2020,10.47
South Korea,KOR,1995,11.17
South Korea,KOR,2000,11.8
South Korea,KOR,2005,12.27
South Korea,KOR,2010,12.96
South Korea,KOR,2015,13.33
South Korea,KOR,2020,13.68
Spain,ESP,1995,8.72
Spain,ESP,2000,9.65
Spain,ESP,2005,10.64
Spain,ESP,2010,10.75
Spain,ESP,2015,11.24
Spain,ESP,2020,11.51
Sri Lanka,LKA,1995,9.83
Sri Lanka,LKA,2000,10.77
Sri Lanka,LKA,2005,10.83
Sri Lanka,LKA,2010,10.67
Sri Lanka,LKA,2015,10.09
Sri Lanka,LKA,2020,10.33
Sudan,SDN,1995,2.78
Sudan,SDN,2000,3.09
Sudan,SDN,2005,3.31
Sudan,SDN,2010,3.49
Sudan,SDN,2015,3.85
Sudan,SDN,2020,4.38
Sweden,SWE,1995,11.41
Sweden,SWE,2000,11.72
Sweden,SWE,2005,11.86
Sweden,SWE,2010,11.95
Sweden,SWE,2015,11.89
Sweden,SWE,2020,11.93
Switzerland,CHE,1995,10.41
Switzerland,CHE,2000,10.14
Switzerland,CHE,2005,10.82
Switzerland,CHE,2010,12.92
Switzerland,CHE,2015,12.95
Switzerland,CHE,2020,12.97
Syria,SYR,1995,4.77
Syria,SYR,2000,4.79
Syria,SYR,2005,6.12
Syria,SYR,2010,7.07
Syria,SYR,2015,7.44
Syria,SYR,2020,7.92
Taiwan,TWN,1995,9.55
Taiwan,TWN,2000,10.38
Taiwan,TWN,2005,11.35
Taiwan,TWN,2010,11.96
Taiwan,TWN,2015,12.37
Taiwan,TWN,2020,12.76
Tajikistan,TJK,2015,10.16
Tajikistan,TJK,2020,10.12
Tanzania,TZA,2015,6.41
Tanzania,TZA,2020,6.87
Thailand,THA,1995,5.79
Thailand,THA,2000,6.09
Thailand,THA,2005,7.46
Thailand,THA,2010,8.47
Thailand,THA,2015,8.71
Thailand,THA,2020,9.32
Togo,TGO,1995,4.62
Togo,TGO,2000,5.05
Togo,TGO,2005,5.44
Togo,TGO,2010,6.09
Togo,TGO,2015,6.85
Togo,TGO,2020,7.68
Tonga,TON,2015,11.22
Tonga,TON,2020,11.42
Trinidad and Tobago,TTO,1995,9.22
Trinidad and Tobago,TTO,2000,9.72
Trinidad and Tobago,TTO,2005,10.27
Trinidad and Tobago,TTO,2010,10.96
Trinidad and Tobago,TTO,2015,11
Trinidad and Tobago,TTO,2020,11.28
Tunisia,TUN,1995,5.48
Tunisia,TUN,2000,6.32
Tunisia,TUN,2005,7.21
Tunisia,TUN,2010,8
Tunisia,TUN,2015,8.63
Tunisia,TUN,2020,9.29
Turkey,TUR,1995,5.88
Turkey,TUR,2000,6.37
Turkey,TUR,2005,6.86
Turkey,TUR,2010,7.44
Turkey,TUR,2015,8.13
Turkey,TUR,2020,8.49
Uganda,UGA,1995,4.17
Uganda,UGA,2000,4.56
Uganda,UGA,2005,5.11
Uganda,UGA,2010,5.87
Uganda,UGA,2015,6.27
Uganda,UGA,2020,6.69
Ukraine,UKR,2015,10.81
Ukraine,UKR,2020,10.82
United Arab Emirates,ARE,2015,9.35
United Arab Emirates,ARE,2020,9.57
United Kingdom,GBR,1995,9.67
United Kingdom,GBR,2000,9.97
United Kingdom,GBR,2005,11.57
United Kingdom,GBR,2010,12.46
United Kingdom,GBR,2015,12.67
United Kingdom,GBR,2020,12.9
United States,USA,1995,12.83
United States,USA,2000,13.1
United States,USA,2005,13.01
United States,USA,2010,13.24
United States,USA,2015,13.29
United States,USA,2020,13.32
Uruguay,URY,1995,8.08
Uruguay,URY,2000,8.36
Uruguay,URY,2005,8.5
Uruguay,URY,2010,8.61
Uruguay,URY,2015,8.65
Uruguay,URY,2020,8.76
Venezuela,VEN,1995,6.11
Venezuela,VEN,2000,7.01
Venezuela,VEN,2005,7.8
Venezuela,VEN,2010,8.78
Venezuela,VEN,2015,9.02
Venezuela,VEN,2020,9.33
Vietnam,VNM,2015,7.99
Vietnam,VNM,2020,8.35
Yemen,YEM,1995,1.77
Yemen,YEM,2000,2.45
Yemen,YEM,2005,3.12
Yemen,YEM,2010,3.84
Yemen,YEM,2015,4.64
Yemen,YEM,2020,5.56
Zambia,ZMB,1995,6.03
Zambia,ZMB,2000,6.35
Zambia,ZMB,2005,6.59
Zambia,ZMB,2010,7.4
Zambia,ZMB,2015,7.9
Zambia,ZMB,2020,8.37
Zimbabwe,ZWE,1995,6.85
Zimbabwe,ZWE,2000,7.26
Zimbabwe,ZWE,2005,7.65
Zimbabwe,ZWE,2010,7.86
Zimbabwe,ZWE,2015,8.03
Zimbabwe,ZWE,2020,8.32
